9998,9997,1
9997,9996,1
9996,9995,1
9996,9993,3
9995,9991,4
9993,9987,6
9991,9986,5
9991,9984,7
9987,9983,4
9986,9982,4
9986,9981,5
9986,9980,6
9984,9978,6
9984,9976,8
9983,9975,8
9982,9973,9
9982,9972,10
9981,9970,11
9980,9968,12
9978,9967,11
9976,9966,10
9975,9963,12
9973,9962,11
9972,9961,11
9970,9959,11
9970,9957,13
9968,9955,13
9968,9952,16
9968,9951,17
9968,9949,19
9968,9948,20
9967,9947,20
9966,9946,20
9966,9944,22
9966,9943,23
9966,9942,24
9963,9941,22
9962,9938,24
9962,9936,26
9961,9935,26
9961,9932,29
9959,9927,32
9957,9926,31
9955,9924,31
9952,9921,31
9951,9920,31
9949,9919,30
9949,9917,32
9948,9916,32
9948,9915,33
9948,9912,36
9948,9911,37
9947,9910,37
9947,9909,38
9946,9908,38
9944,9907,37
9943,9905,38
9943,9904,39
9943,9903,40
9942,9901,41
9941,9900,41
9941,9899,42
9938,9898,40
9936,9897,39
9935,9896,39
9932,9895,37
9927,9893,34
9926,9891,35
9924,9890,34
9921,9887,34
9921,9886,35
9920,9885,35
9920,9883,37
9919,9881,38
9917,9878,39
9916,9877,39
9915,9875,40
9912,9874,38
9911,9870,41
9910,9869,41
9910,9868,42
9909,9867,42
9908,9866,42
9907,9862,45
9907,9859,48
9905,9858,47
9904,9856,48
9903,9854,49
9901,9853,48
9900,9852,48
9900,9850,50
9899,9849,50
9898,9848,50
9897,9846,51
9896,9843,53
9895,9842,53
9893,9840,53
9891,9838,53
9890,9836,54
9887,9834,53
9887,9832,55
9886,9830,56
9885,9829,56
9885,9828,57
9883,9827,56
9881,9826,55
9878,9825,53
9878,9824,54
9877,9823,54
9875,9822,53
9874,9819,55
9874,9818,56
9870,9817,53
9869,9815,54
9868,9813,55
9867,9812,55
9866,9811,55
9862,9810,52
9859,9809,50
9859,9808,51
9859,9806,53
9858,9805,53
9856,9797,59
9856,9794,62
9854,9792,62
9853,9789,64
9853,9788,65
9853,9787,66
9852,9786,66
9850,9785,65
9850,9784,66
9849,9783,66
9848,9782,66
9846,9781,65
9843,9779,64
9843,9777,66
9842,9774,68
9840,9773,67
9840,9772,68
9840,9771,69
9838,9769,69
9836,9767,69
9836,9766,70
9834,9763,71
9834,9762,72
9834,9761,73
9832,9760,72
9830,9758,72
9829,9755,74
9829,9754,75
9828,9753,75
9827,9752,75
9826,9751,75
9825,9750,75
9825,9749,76
9824,9742,82
9824,9741,83
9824,9739,85
9823,9738,85
9822,9737,85
9822,9735,87
9819,9734,85
9818,9730,88
9817,9729,88
9815,9726,89
9813,9725,88
9813,9724,89
9812,9723,89
9812,9722,90
9811,9721,90
9811,9720,91
9811,9719,92
9810,9718,92
9810,9715,95
9810,9712,98
9809,9710,99
9808,9709,99
9806,9708,98
9806,9707,99
9805,9706,99
9797,9705,92
9797,9703,94
9794,9702,92
9792,9700,92
9789,9698,91
9789,9697,92
9789,9695,94
9788,9694,94
9787,9692,95
9787,9689,98
9786,9688,98
9786,9687,99
9785,9685,100
9784,9684,100
9783,9682,101
9783,9681,102
9782,9678,104
9781,9677,104
9781,9673,108
9781,9672,109
9779,9670,109
9779,9669,110
9777,9668,109
9777,9664,113
9777,9662,115
9774,9657,117
9773,9655,118
9772,9653,119
9772,9651,121
9772,9649,123
9771,9648,123
9769,9647,122
9767,9645,122
9766,9644,122
9763,9643,120
9762,9642,120
9761,9641,120
9760,9640,120
9758,9636,122
9758,9635,123
9758,9634,124
9758,9633,125
9755,9632,123
9755,9631,124
9754,9629,125
9754,9628,126
9754,9627,127
9754,9624,130
9753,9623,130
9752,9621,131
9751,9620,131
9750,9619,131
9750,9618,132
9749,9617,132
9742,9616,126
9741,9615,126
9741,9614,127
9741,9613,128
9739,9612,127
9739,9611,128
9738,9609,129
9737,9608,129
9735,9607,128
9735,9606,129
9735,9605,130
9734,9604,130
9730,9603,127
9730,9601,129
9729,9599,130
9729,9597,132
9726,9596,130
9725,9593,132
9725,9592,133
9724,9591,133
9723,9589,134
9722,9588,134
9722,9587,135
9721,9585,136
9721,9584,137
9720,9582,138
9720,9580,140
9719,9576,143
9718,9574,144
9715,9572,143
9712,9571,141
9712,9568,144
9712,9567,145
9710,9566,144
9710,9563,147
9709,9560,149
9709,9559,150
9709,9558,151
9708,9556,152
9707,9554,153
9706,9553,153
9705,9552,153
9705,9551,154
9703,9549,154
9703,9546,157
9702,9544,158
9702,9543,159
9700,9542,158
9698,9540,158
9697,9539,158
9695,9536,159
9695,9535,160
9695,9534,161
9694,9533,161
9692,9532,160
9689,9530,159
9688,9529,159
9687,9528,159
9687,9527,160
9685,9525,160
9684,9524,160
9682,9523,159
9682,9522,160
9681,9519,162
9678,9517,161
9678,9516,162
9677,9515,162
9673,9513,160
9672,9512,160
9670,9510,160
9670,9509,161
9669,9507,162
9668,9506,162
9668,9505,163
9664,9504,160
9662,9502,160
9657,9501,156
9657,9500,157
9655,9499,156
9653,9498,155
9651,9497,154
9649,9495,154
9649,9494,155
9648,9492,156
9647,9491,156
9645,9490,155
9645,9488,157
9644,9487,157
9643,9486,157
9642,9485,157
9641,9484,157
9641,9483,158
9640,9480,160
9636,9479,157
9635,9478,157
9634,9477,157
9633,9475,158
9632,9473,159
9631,9472,159
9631,9471,160
9629,9470,159
9629,9469,160
9628,9468,160
9628,9467,161
9627,9466,161
9627,9465,162
9624,9464,160
9624,9463,161
9623,9462,161
9621,9459,162
9621,9458,163
9620,9456,164
9620,9455,165
9620,9454,166
9620,9452,168
9620,9449,171
9619,9447,172
9619,9446,173
9619,9445,174
9619,9443,176
9618,9441,177
9618,9438,180
